What was the activity about?,"Overall, what is your level of satisfaction after attending this activity?",The activity was engaging,"I felt comfortable asking questions during the activity (i.e., enough time, clear responses, etc.)",The activity provided me with information/resources that I can apply to my job search process.,What is the one most valuable thing you have learned during this activity (knowledge or skill) that you anticipate implementing in your job search/career journey?,What recommendations would you suggest for improving the activity overall?,Do you have any other comments that you would like to share?
Employer Coaching Session,Very satisfied,Agree,Agree,Agree,How to brand myself,all good,thank you
Targeted Recruitment Event,Satisfied,Agree,Agree,Strongly agree,General information about the recruiters.  This will help with tailoring the resume.,none.,
Targeted Recruitment Event,Satisfied,Strongly agree,Strongly agree,Agree,Being more open to opportunities outside my comfort zone.,None. ,None. 
Targeted Recruitment Event,Very satisfied,Strongly agree,Agree,Strongly agree,,,
Targeted Recruitment Event,Satisfied,Neutral,Neutral,Neutral,,,
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,How to properly build my Digital Resume and tailor it to the job position I am applying for.,,
5-Day Sector Specific Training,Satisfied,Strongly agree,Strongly agree,Strongly agree,Building a professional LinkedIn profile,I was wondering if the program could have evening /weekend schedule in order to accommodate everybody especially those that work in the morning/afternoon.,The program was loaded with useful information needed for employment. Thank you so much. I appreciate it.
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,"I learnt about the two sectors, their scope and job planning accordingly",nil ,It was a fantastic session. Thank you so much WorldSkills. I appreciate you all for all the efforts. 
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Learning how IT skills can be used in different sectors of the market. ,"It would be great if a big organization like CSI could step up in partially training world skills clients, for instance with the special criteria that they should complete the rest of the program as soon as they get into a job and become financially stable. ",Nothing but praise for the organizers! Thank you so much. 
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,-How to make a portfolio and a digital resume   -The STAR technique ,-More engaging activities.  -Guidelines to answer typical interview questions.,I want to thank the whole team for this learning opportunity and for their feedbacks.
5-Day Sector Specific Training,Satisfied,Strongly agree,Strongly agree,Strongly agree,Express yourself ,More practical exercise ,Thank you
5-Day Sector Specific Training,Very satisfied,Agree,Strongly agree,Strongly agree,-The STAR technique.  -Learning about Portfolios and video resumes.  -The importance of having multiple resumes tailored to the job's requirements.,"-Sending an email containing the most common questions asked in an interview along with typical answers or examples to follow so we can practice and avoid surprise questions in interviews.  -Teaching how to handle tricky questions such as ""What makes you standout in a pool of candidates"".",I do want to thank worldskills for this awesome experience. You are very professional and your advice is very valuable in my quest for finding a good job in my sector.
5-Day Sector Specific Training,Very satisfied,Agree,Strongly agree,Agree,I had the opportunity to practice the STAR technique and to benefit from the amazing team advices and also learnt how to create a digital resume witch was very interesting,"I noticed that you focused a lot on the Not for profit sector, maybe you should include more content about the other sectors in the future","It was an amazing experience, i've met wonderfull people and i'm very gratfull for being a part of this program"
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Be intentional about yourself during your job search and after you land that job,Everything seem good. Maybe making sessions not as long,Great job so far
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,confidence build up,everyone's involvement is there but can improve more,
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,The most valuable thing that have learned that I will implement is to build my LinkedIn profile.,,I really appreciate all the valuable information provide in these 5-days training. Thank you to the team for all the effort and other facilitators.
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Creating portfolios and digital resume,Linked in optimization ,N/A
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Believe in yourself and your skills that you have learned over your life experiences; skills that are transferrable and are what make us unique. ,I wish it was in person and more role playing in groups,I highly recommend it! 
5-Day Sector Specific Training,Very satisfied,Agree,Agree,Strongly agree,Video Resume,Planned times for short breaks,
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Agree,The Video Resume.,,
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,"I learned a lot regarding the interview, what to do etc. I also discovered NFP sector",Maybe smaller groups for more interaction,Thank you a lot for your efforts
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,How to use the STAR technique during interviews.,More time allocated to practice interviews maybe? Doing more mock interviews?,"Everything was awesome, everybody was fantastic. I learned A LOT! I just changed the format of my resume, and in 3 days my indeed profile was filled with ""We saw your resume and would like you to apply to our X job posting if you're interested""! Thank you!"
5-Day Sector Specific Training,Very satisfied,Agree,Strongly agree,Strongly agree,"Establish an objective that includes the role, the type and size of organization, to prepare a decision matrix and based on that, narrow the search and the job seeking efforts. Brad´s participation was great!  The coordination is amazing, we know what´s happening at any time, we feel in a trust space to exchange ideas and ask. It´s very valuable what you do!","Try to not be repetitive, some of the things we reviewed already with Brad are reviewed again in the Digital skills days. The NFP day was also repetitive in some aspects.  I´d love to have more breaks, it feels very tiring to be all day long connected, specially with cameras on.  Keep doing this type of workshop, it´s a great tool for newcomers, thank you, thank you!!","Make decisions to encourage everybody to turn their cameras on, it´s discouraging as speaker to talk to black boxes, I feel you!"
5-Day Sector Specific Training,Satisfied,Agree,Strongly agree,Strongly agree,Searching for nonprofits based on size. Targeting my preferred jobs ,Bringing in more recruitment people from the represented industries and making a career map/ladder. Like in this industry you can begin with this role and progress to that role. Basically how to climb the career ladder in that industry,No
5-Day Sector Specific Training,Satisfied,Strongly agree,Strongly agree,Strongly agree,How to find the hidden job market,Everything was good,
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,"Networking, opportunity to build new connections, splitting into sectors and be more focused and resume reviews and at last PMP certification support was the most impressive points of this program.",Most of the opportunities that employer HR departments offered us was entry-level jobs. I would like to know more about mid-level jobs. ,Appreciate your support. That was the best and most efficient support that I get since landing here in Canada
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,new information,None,None
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,I learned alot about the for non profit organization ,,Thanks 
5-Day Sector Specific Training,Very satisfied,Agree,Agree,Agree,I learned how I can classify my skills and writing a resume according to the job I submit to .,non it was great ,non
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,The various recruitment criteria of certain sectors ,Nil,No
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,knowldege about compensation type in the finance sector that will help me narrow down my search,The team is already doing a fantastic effort,
Targeted Recruitment Event,Very satisfied,Strongly agree,Agree,Strongly agree,I have learnt to do a lot of research before applying for jobs.,"To me, this activity was very well organized. I appreciate.",Please get us more activities like these more often. Thank you.
Targeted Recruitment Event,Very satisfied,Agree,Strongly agree,Agree,Charity Village: Not-for-profit and Volunteer jobs.,More frequent Recruitement events,
Targeted Recruitment Event,Satisfied,Agree,Agree,Agree,Knowlege about new sectors for me,-,-
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,I get more information about Charity Village ,,THANKS 
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,,,
Targeted Recruitment Event,Very satisfied,Strongly agree,Agree,Strongly agree,,,
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,,,
Targeted Recruitment Event,Satisfied,Agree,Agree,Agree,,,
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,I have better understanding of how I can get my foot into the Government job.  I enjoyed the Canada Service presentation and the others.,The program is well structured.,Thank you for this amazing opportunity to learn more .
Targeted Recruitment Event,Neutral,Neutral,Neutral,Neutral,,,
Targeted Recruitment Event,Satisfied,Agree,Agree,Agree,new information and opportunities,more sessions,No
Targeted Recruitment Event,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Call the employer before applying. ,None. It was excellent. ,Great job! 
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,The presentation about the non-profit and charity sectors' job opportunities,Would like to have the presentation slides available for download,
Targeted Recruitment Event,Neutral,Disagree,Neutral,Neutral,The presentations weren't a good fit for my needs,None,None
Targeted Recruitment Event,Satisfied,Neutral,Strongly agree,Neutral,About Volunteer job at Charity village.,,
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,,,
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,How to professionally customize my resume video to be more efficient ,Break out room for participants with similar position in mind or sub sectors with coaches (finance/banking),
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,I have learnt a lot but the one that stood out for me are:  *  Digital resume and Portfolio  *  How to navigate the hidden job market  *  Using STAR approach to tell my story,"The activity is well structure, I love the fact the the organization has a lot of seasoned staff who are able to impact knowledge.","I enjoyed every part of the activities from beginning to the end and am using this medium to appreciate the organizer of this program, it was really valuable."
5-Day Sector Specific Training,Satisfied,Agree,Agree,Agree,Enhancing transferable skills,More recruitment events,No
Employer Coaching Session,Satisfied,Strongly agree,Strongly agree,Strongly agree,Learning how to be more concise with resumes and using action words,It should be an ongoing program,Thank you
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,I really appreciate the information given during this session,It will be more effective if it will be one to one session,Thank you
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,One by one review about resume,,
Employer Coaching Session,Satisfied,Agree,Agree,Agree,,,
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Professional feedback about the resume,,
5-Day Sector Specific Training,Satisfied,Agree,Strongly agree,Strongly agree,Knowledge of how to write a digital resume and portfolio was valuable,-,-
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,,,
